lwr_2050_45,upr_2050_45,m95_2050_45,PfR_2050_45,lwr_2050_85,upr_2050_85,m95_2050_85,PfR_2050_85,lwr_2070_45,upr_2070_45,m95_2070_45,PfR_2070_45,lwr_2070_85,upr_2070_85,m95_2070_85,PfR_2070_85
6.601791,19.736702,13.644808,0.334493118,7.014653,17.971193,12.899282,0.39032762,6.824554,18.76866,13.226017,0.363614344,6.915767,18.003946,12.874353,0.384125069
30.967813,89.424477,61.974712,0.346301304,32.441544,79.682899,57.919659,0.407133079,31.486668,83.843002,59.676632,0.375543185,34.633057,80.928055,59.621346,0.427948713
29.58375,73.826485,54.51202,0.400720013,31.540695,68.244987,51.607346,0.462168672,29.961132,72.197151,52.875668,0.414990503,31.240442,68.008575,51.326042,0.459360338
22.8388,48.791965,36.654388,0.468085268,23.615913,43.742729,34.830086,0.539882022,22.944223,46.113003,35.575527,0.497565144,23.386017,43.481167,34.571796,0.537842441
115.806091,245.708115,185.628998,0.471315695,122.171875,224.298889,176.858383,0.544683371,117.346382,234.992325,180.441452,0.499362615,121.773438,223.990585,176.554749,0.54365427
56.001186,117.016312,89.842346,0.478575893,59.343689,108.108185,86.017876,0.548928733,56.732502,111.980286,87.496529,0.506629372,59.055061,107.81543,85.808388,0.547742202
25.73848,51.814053,39.207733,0.496747089,26.673214,46.670357,37.234318,0.571523676,25.869148,49.88847,38.148083,0.518539614,26.685638,46.680195,37.120029,0.571669377
6.395077,15.940992,11.631866,0.401171834,6.691252,14.259933,11.015717,0.469234463,6.441577,15.168911,11.281953,0.424656523,6.582652,14.174671,10.917826,0.464395399
15.662916,34.008953,25.792963,0.460552726,16.542717,31.011572,24.557945,0.533436905,15.873438,32.559479,25.090109,0.487521253,16.361629,30.79574,24.360353,0.531295205
2.118525,8.168674,5.291533,0.259347478,2.220011,7.23103,4.81825,0.307011726,2.146521,7.730505,5.072735,0.277668923,2.159886,7.014651,4.597199,0.307910686
24.288527,74.845825,51.97776,0.32451412,25.531876,66.477921,48.059235,0.3840655,24.558077,70.699028,49.915295,0.347360886,24.561022,65.482513,47.079994,0.375077572
10.601791,30.667633,21.591339,0.345699683,11.155536,27.411516,20.089947,0.406965306,10.736321,29.085827,20.818729,0.369125519,10.889213,26.752228,19.484541,0.407039481
3.860295,18.133532,11.245877,0.212881583,4.168952,15.637106,10.077116,0.266606366,3.905113,16.955708,10.65537,0.230312589,3.922107,15.292786,9.656829,0.256467788
14.520596,54.686478,37.277287,0.265524432,15.793946,49.382217,35.118393,0.319830639,14.480938,51.564388,35.376869,0.280832151,16.641251,51.283882,36.239086,0.32449281
30.847055,72.940392,53.520679,0.422907722,32.82769,66.218666,50.841972,0.495746773,31.131248,69.393555,51.825474,0.448618723,32.634636,66.092537,50.759716,0.493771876
12.652607,28.539595,21.680765,0.443335198,12.94824,26.648413,20.790136,0.485891599,12.734,27.634266,21.181202,0.460804713,12.772083,26.499311,20.61516,0.481977928
93.118416,214.531189,159.672333,0.434055376,99.008499,196.269958,151.984497,0.504450605,94.527916,205.793442,155.196381,0.459333957,98.528236,195.851929,151.478912,0.503075137
57.829128,124.321129,90.883003,0.465159289,60.380249,110.398102,85.985947,0.546931948,58.415699,116.588722,87.966599,0.501040735,60.180248,110.284317,85.82074,0.545682737
23.234165,39.175369,32.17284,0.593080948,23.791162,37.427784,31.361927,0.635655106,23.463751,38.275345,31.689743,0.613025199,23.770674,37.368061,31.307882,0.636122757
18.552443,47.123589,33.728828,0.393697581,19.626318,42.511749,31.860956,0.461668091,18.76244,44.723839,32.632389,0.419517654,19.53632,42.421753,31.763727,0.460525995
6.35,14.68,10.946745,0.432561308,6.42549,14.109799,10.631317,0.455392029,6.346032,14.39117,10.777081,0.440967065,6.385433,13.930685,10.495244,0.458371789
24.047813,72.485878,49.653648,0.331758594,25.4125,64.387947,46.299904,0.394677905,24.247187,68.712135,47.78072,0.35288071,24.971842,63.930347,45.806587,0.390610143
32.025112,63.931755,49.835838,0.500926527,33.459999,58.914005,47.737743,0.567946433,32.424374,61.414669,48.632896,0.527958133,33.221836,58.619797,47.506424,0.566734068
24.072542,62.443577,44.878323,0.385508697,25.796608,56.293602,42.337097,0.458251153,24.592827,59.380985,43.417999,0.414153234,25.444345,56.168976,42.047821,0.452996419
8.020563,31.427546,20.139374,0.255208059,8.5165,27.082674,18.524168,0.31446304,8.098555,29.281149,19.247677,0.27657914,8.182917,26.562534,18.123066,0.308062363
12.518929,35.497364,25.226511,0.352672074,13.500367,32.144569,24.024784,0.41998905,12.8,33.910522,24.475943,0.377463962,13.65125,32.629005,24.307131,0.418377759
27.569204,71.821442,51.514923,0.383857567,29.642159,64.80172,48.757366,0.457428584,28.621847,68.67926,50.093616,0.416746584,29.71875,65.19783,48.778656,0.45582422
38.331795,79.959488,61.291935,0.479390201,40.530834,73.222458,58.576042,0.553530093,38.97171,76.746048,59.699005,0.507800871,40.39027,73.079193,58.402966,0.55269179
47.02029,114.03862,81.879707,0.412319002,49.422405,102.452255,77.224953,0.482394507,47.519169,108.0924,79.182579,0.439616189,49.162468,102.148582,76.874657,0.481283901
31.326466,62.543892,48.645775,0.500871708,32.873859,57.602867,46.612869,0.570698313,31.761196,60.094669,47.456127,0.52851936,32.671707,57.462612,46.431896,0.568573301
6.464359,15.12999,11.058908,0.427254678,6.526238,14.614584,10.805947,0.446556536,6.468852,14.890012,10.914101,0.434442363,6.490416,14.567058,10.750601,0.445554346
0.930677,2.909289,1.90602,0.319898436,0.936282,2.718973,1.818963,0.344351341,0.928566,2.804045,1.859775,0.331152317,0.923788,2.686248,1.793117,0.343895277
0.68708,1.435603,1.09054,0.478600282,0.706898,1.313483,1.039822,0.538185877,0.696775,1.387153,1.063094,0.502305802,0.6968,1.296312,1.026565,0.537524917
0.55336,1.893749,1.201979,0.292203455,0.579042,1.626095,1.099947,0.356093586,0.561391,1.797817,1.151456,0.312262594,0.566367,1.5707,1.060989,0.360582543
2.867619,27.764536,14.774476,0.10328352,3.180037,23.471994,12.815396,0.135482184,2.944062,25.713259,13.821184,0.114495872,3.029534,22.370003,12.021666,0.135428413
32.538223,88.88784,63.482452,0.366059328,34.90625,80.110687,59.825768,0.435725261,33.138947,84.627365,61.418312,0.391586658,33.598156,79.611694,59.117134,0.422025387
28.42828,72.262627,52.667606,0.393402249,30.938839,65.698692,49.95285,0.470920167,29.180834,68.874352,51.04081,0.423682157,30.777946,65.473053,49.90427,0.470085701
25.762293,71.793274,49.977253,0.358839924,27.373001,64.032516,46.862514,0.427485951,26.107981,67.751335,48.01997,0.38535006,27.101355,63.600491,46.60149,0.426118644
10.351748,24.043743,18.20475,0.430538124,10.688278,22.890558,17.635111,0.466929552,10.392344,23.455486,17.863405,0.443066667,10.486243,22.757553,17.474329,0.460780779
12.63851,40.576393,27.58853,0.311474458,13.131931,36.391388,25.861073,0.360852711,12.61322,38.473984,26.603003,0.327837637,12.8015,36.187229,25.631571,0.353757399
99.999924,220.678207,164.129807,0.453148162,105.359528,199.7211,155.764221,0.527533285,101.231384,210.12233,159.217361,0.481773565,104.861015,199.208633,155.294464,0.526387905
53.723324,111.633904,84.882393,0.48124559,56.214325,101.696312,80.799789,0.552766604,54.287895,106.484444,82.497131,0.50981996,101.487762,0.551074316,55.927299,80.563293
